,word,frequence,rang
761,fascinating,23,762
762,super,23,763
763,keeping,23,764
764,step,23,765
765,deal,23,766
766,s,23,767
767,god,23,768
768,blessed,23,769
769,looked,23,770
770,personal,23,771
771,reality,23,772
772,On,23,773
773,Fitocracy,23,774
774,mine,23,775
775,write,23,776
776,Let's,23,777
777,thoughts,23,778
778,less,23,779
779,business,22,780
780,Get,22,781
781,top,22,782
782,late,22,783
783,peace,22,784
784,you'll,22,785
785,youtube,22,786
786,district,22,787
787,return,22,788
788,helping,22,789
789,possible,22,790
790,light,22,791
791,speaker,22,792
792,ourselves,22,793
793,interested,22,794
794,let's,22,795
795,played,22,796
796,second,22,797
797,fast,22,798
798,hoping,22,799
799,journey,22,800
800,water,22,801
801,moment,22,802
802,students,22,803
803,goal,22,804
804,GOP,22,805
805,subject,22,806
806,lovely,22,807
807,ALL,22,808
808,lady,22,809
809,See,22,810
810,representing,22,811
811,8,21,812
812,deserved,21,813
813,age,21,814
814,kill,21,815
815,car,21,816
816,ok,21,817
817,Let,21,818
818,head,21,819
819,hell,21,820
820,cute,21,821
821,brought,21,822
822,match,21,823
823,giving,21,824
824,respect,21,825
825,rights,21,826
826,weekend,21,827
827,appreciated,21,828
828,Republicans,21,829
829,across,21,830
830,between,21,831
831,speaking,21,832
832,Her,21,833
833,powerful,21,834
834,spend,21,835
835,Mike,21,836
836,learning,21,837
837,full,21,838
838,catch,21,839
839,courage,21,840
840,seem,21,841
841,felt,21,842
842,IS,21,843
843,gives,21,844
844,military,21,845
845,beauty,21,846
846,says,21,847
847,trust,21,848
848,putting,21,849
849,Even,21,850
850,he's,21,851
851,social,20,852
852,campaign,20,853
853,often,20,854
854,videos,20,855
855,Talk,20,856
856,im,20,857
857,send,20,858
858,humanity,20,859
859,9,20,860
860,president,20,861
861,cause,20,862
862,realize,20,863
863,based,20,864
864,6,20,865
865,fine,20,866
866,short,20,867
867,oh,20,868
868,season,20,869
869,month,20,870
870,spent,20,871
871,elected,20,872
872,DC,20,873
873,near,20,874
874,p,20,875
875,similar,20,876
876,Like,20,877
877,Clinton,20,878
878,type,20,879
879,hey,20,880
880,inspiration,20,881
881,Mark,20,882
882,learned,20,883
883,list,20,884
884,changed,20,885
885,paid,20,886
886,Ill,20,887
887,tried,20,888
888,David,20,889
889,effort,20,890
890,IT,20,891
891,data,20,892
892,Be,20,893
893,Same,19,894
894,excellent,19,895
895,area,19,896
896,local,19,897
897,MY,19,898
898,v,19,899
899,Party,19,900
900,summer,19,901
901,exciting,19,902
902,illegal,19,903
903,Because,19,904
904,tears,19,905
905,smart,19,906
906,Jane,19,907
907,Interesting,19,908
908,DO,19,909
909,THAT,19,910
910,An,19,911
911,folks,19,912
912,Looks,19,913
913,Beautiful,19,914
914,example,19,915
915,informative,19,916
916,meeting,19,917
917,lots,19,918
918,passed,19,919
919,passion,19,920
920,creative,19,921
921,act,19,922
922,Once,19,923
923,yesterday,19,924
924,Year,19,925
925,12,19,926
926,die,19,927
927,city,19,928
928,Birthday,19,929
929,election,19,930
930,fit,19,931
931,Rock,19,932
932,honor,19,933
933,posting,19,934
934,eyes,19,935
935,hands,19,936
936,fuck,19,937
937,joke,19,938
938,process,19,939
939,child,19,940
940,leader,19,941
941,single,18,942
942,black,18,943
943,Here,18,944
944,fans,18,945
945,takes,18,946
946,interest,18,947
947,topic,18,948
948,sign,18,949
949,anti,18,950
950,you've,18,951
951,wants,18,952
952,fucking,18,953
953,special,18,954
954,playing,18,955
955,players,18,956
956,30,18,957
957,law,18,958
958,000,18,959
959,creativity,18,960
960,shows,18,961
961,Luck,18,962
962,word,18,963
963,o,18,964
964,administration,18,965
965,available,18,966
966,buy,18,967
967,later,18,968
968,20,18,969
969,couple,18,970
970,dude,18,971
971,2014,18,972
972,three,18,973
973,wall,18,974
974,within,18,975
975,player,18,976
976,Senate,18,977
977,TV,18,978
978,Time,18,979
979,order,18,980
980,Such,18,981
981,THANK,18,982
982,que,18,983
983,okay,18,984
984,create,18,985
985,alone,18,986
986,response,18,987
987,haven't,18,988
988,eating,18,989
989,present,18,990
990,baby,18,991
991,happening,18,992
992,reach,18,993
993,society,17,994
994,form,17,995
995,lead,17,996
996,Amen,17,997
997,attention,17,998
998,politicians,17,999
999,More,17,1000
